X,Y,first_city,city,id
-104.960485206998,40.5333744881638,Timnath,77510,1
-107.339143196888,39.7443044049303,Carbonate,,2
-104.853344172543,39.3761520145162,Castle Rock,12415,3
-108.040729050523,39.4551568770102,Parachute,57430,4
-104.892411875788,39.2316151283815,Larkspur,43550,5
-106.13901287439,38.8317747272678,Buena Vista,10105,6
-103.066181740331,40.7590829965325,Iliff,38590,7
-108.058250221035,39.4485428622554,Parachute,57400,8
-105.802882730181,39.9302636840577,Fraser,28305,9
-107.609676449188,38.7050570804938,Crawford,17925,10
-106.354468142944,37.6780969283797,Del Norte,19795,11
-108.548741945309,38.2667119463322,Nucla,54935,12
-105.008486405374,37.5085632587463,La Veta,44100,13
-105.193672080751,39.6429216289034,Morrison,52075,14
-104.738910893393,40.3660342570787,Evans,25280,15
-105.005937397535,40.6986979388636,Wellington,83230,16
-107.032155431943,37.2670587779804,Pagosa Springs,56860,17
-104.740422790172,40.5893430467476,Ault,03950,18
-102.795366101198,38.7628232510414,Kit Carson,41010,19
-106.150015001315,37.5788597635476,Monte Vista,51635,20
-105.996948212044,39.2244956793897,Fairplay,25610,21
-105.09949920852,40.1690657006036,Longmont,45970,22
-104.49081610348,37.1748568409413,Trinidad,78610,23
-102.869524037379,39.2979669578076,Seibert,69040,24
-105.904881416931,38.0019217192357,Moffat,51250,25
-104.564446831482,40.3877825402511,Kersey,40515,26
-104.994293471552,39.6467906348271,Englewood,24785,27
-102.603473153264,39.3028829179855,Stratton,74485,28
-105.694228591381,39.7179711557446,Georgetown,29735,29
-105.211680618524,39.74061655487,Golden,30835,30
-102.228400669877,40.0801979541032,Wray,86310,31
-106.378446939862,40.056638429686,Kremmling,41560,32
-109.00751175484,40.2402598662588,Dinosaur,20495,33
-105.78301221217,39.8779101770385,Winter Park,85705,34
-105.018772483261,39.5915247151969,Littleton,45255,35
-106.08684870502,39.6561372495581,Silverthorne,70525,36
-102.839505654281,40.6811912788473,Fleming,26875,37
-106.067034409302,39.2859447431895,Alma,01530,38
-104.875765513436,39.7619758867353,Denver,20000,39
-103.522174585733,40.3246538883821,Hillrose,36610,40
-105.018176062752,39.6467753224635,Sheridan,69645,41
-105.516892212181,39.7974616300362,Central City,12910,42
-107.041715378086,39.3665349652097,Basalt,04935,43
-102.299812404388,40.5834138411827,Holyoke,37270,44
-108.567497098604,39.0878309925729,Grand Junction,31660,45
-106.10317840039,40.0748689000839,Hot Sulphur Springs,37600,46
-107.665340058173,37.8106956511568,Silverton,70580,47
-104.870980398423,39.5308057087149,Lone Tree,45955,48
-106.933645543546,39.6284622481152,Gypsum,33695,49
-104.855719863875,40.3103016828747,Milliken,50480,50
-103.353411439527,37.2470624387918,Kim,40570,51
-108.779459833511,40.0860912782324,Rangely,62880,52
-106.141869041681,38.2966185438055,Bonanza,07571,53
-103.722497212414,38.0500268722325,Rocky Ford,65190,54
-105.035295138194,39.5992941439506,Columbine Valley,16385,55
-104.606171927,39.3610149912436,Elizabeth,23740,56
-108.357391368812,39.1082478820301,Palisade,56970,57
-105.960633600306,37.2737816469104,La Jara,42055,58
-105.164879664971,38.3644427639973,Rockvale,64970,59
-104.948282188112,40.0620169634066,Dacono,19080,60
-104.870600282233,39.4624913713405,Castle Pines,12387,61
