X,Y,first_city,city,id
-106.386475846774,39.5456581194457,Minturn,50920,191
-105.726456017026,39.6956978408622,Silver Plume,70360,192
-105.191027194291,38.4135839620349,Brookside,09115,193
-106.091539448621,39.5791434715188,Frisco,28690,194
-106.293443658959,39.2473709759905,Leadville,44320,195
-106.93897416799,39.2210974226246,Snowmass Village,71755,196
-102.279933093617,37.3861073232457,Walsh,82460,197
-105.116771820893,39.6978010846182,Lakewood,43000,198
-104.785482840133,39.5881747527935,Foxfield,28105,199
-102.74335160034,39.3021194921861,Vona,81690,200
-104.966880861318,40.1095306081544,Frederick,28360,201
-104.455417078921,39.3430410926825,Kiowa,40790,202
-104.948027748618,39.6375468672902,Cherry Hills Village,13845,203
-105.015469081898,39.8650263049888,Federal Heights,26270,204
-108.730487134149,39.1548588130701,Fruita,28745,205
-107.970446040859,38.8144623830592,Orchard City,55980,206
-102.716135666695,40.1234736298818,Yuma,86750,207
-105.920149398652,40.0645807977663,Granby,31605,208
-105.041522675914,40.3070165051853,Berthoud,06255,209
-107.82650279884,37.9362632573104,Telluride,76795,210
-104.300009778857,39.0346565056155,Calhan,11260,211
-104.760565405632,38.8673735510573,Colorado Springs,16000,212
-103.113943303042,40.9618783549541,Peetz,58235,213
-103.274050777657,39.2843376485096,Arriba,03235,214
-107.92546016515,38.8941134407233,Cedaredge,12635,215
-107.754609909692,38.1571503851425,Ridgway,64200,216
-107.673310003785,38.027463215386,Ouray,56420,217
-102.124297449929,38.0565545278329,Holly,37215,218
-106.369929696862,39.5092556416167,Red Cliff,63265,219
-104.712559374214,40.5272234790025,Eaton,22860,220
-108.002156798254,37.9946979167269,Sawpit,68655,221
-105.05794615855,39.7802089988362,Lakeside,42495,222
-102.262759738969,40.9845143066135,Julesburg,39965,223
-105.507173399819,39.9632797896812,Nederland,53175,224
-103.199016818507,40.6244262798965,Sterling,73935,225
-104.867279745782,39.5926079758186,Centennial,12815,226
-106.361255790567,39.6385010933995,Vail,80040,227
-104.978275050753,39.9106503821706,Northglenn,54330,228
-105.877379493946,37.7459248715513,Hooper,37380,229
-106.812082276247,39.6364650559406,Eagle,22200,230
-104.782023740617,40.2841712430891,Gilcrest,29955,231
-103.829708193069,40.2704377099226,Log Lane Village,45695,232
-104.865735382647,40.5272846534232,Severance,69150,233
-102.294444449736,38.4667135417087,Sheridan Lake,69700,234
-105.494544159674,39.8042945399056,Black Hawk,07025,235
-105.062632918191,39.7508532489807,Edgewater,23135,236
-104.906009311862,39.1151956151184,Palmer Lake,57025,237
-107.214687423794,39.3948977999965,Carbondale,12045,238
-104.655036191241,37.403625791377,Aguilar,00760,239
-104.689525128385,40.3945856125721,Garden City,29185,240
-108.204868501522,39.3101843466159,De Beque,19355,241
-104.781720790923,37.6305984744208,Walsenburg,82350,242
-103.511051639059,38.1075727743359,Cheraw,13460,243
-107.310629877468,38.0300368007841,Lake City,42330,244
-104.621589641646,37.1442226658063,Cokedale,15550,245
-106.513575867974,39.644744051221,Avon,04110,246
-105.14217558376,38.3621172875877,Coal Creek,15330,247
-104.613053998175,38.2706294555842,Pueblo,62000,248
-106.824321569097,40.4776966283962,Steamboat Springs,73825,249
-105.065724907137,40.5477604407296,Wellington,27425,250
-104.944527614153,39.9205066199859,Thornton,77290,251
-102.578798379523,37.1047115309829,Campo,11645,252
-106.960464758695,38.9081504231077,Mount Crested Butte,52570,253
-105.151036572194,39.8320672175647,Arvada,03455,254
-102.801366424266,40.8591646354174,Crook,18640,255
-107.983385802086,38.6081949695033,Olathe,55540,256
-102.352029982615,38.8192015621234,Cheyenne Wells,14175,257
-104.935205300196,39.7035973660128,Glendale,30340,258
-105.998720093559,38.5305770476776,Salida,67280,259
-105.051221722359,39.6252647264242,Bow Mar,08070,260
-105.06206450252,40.4167242093744,Loveland,46465,261
-107.653585568066,39.548173489135,Silt,70195,262
-104.043303175126,39.6153629135261,Deer Trail,19630,263
-104.727500667131,39.7083698425771,Aurora,04000,264
-104.775085356268,39.5080286743909,Parker,57630,265
-102.719117538363,38.1549243415023,Wiley,85045,266
-104.921327723937,40.467906040532,Windsor,85485,267
-102.38834328614,40.9608175299478,Ovid,56475,268
-105.040251784718,40.0401566421271,Erie,24950,269
-104.026476541841,38.1304702159867,Fowler,27975,270
-105.410415068075,38.1203755176241,Silver Cliff,70250,271
-106.03617705581,39.4342231359655,Blue River,07410,272
-105.185073060543,38.7466568116193,Cripple Creek,18530,273
-105.159291219305,39.9335895922768,Superior,75640,274
