City/Town Name:,Type:,LG ID:,FIPS:,Census MRF:,Counties:
"Grand Lake, Town of",Statutory Towns,25014,31715,560,Grand
"Hot Sulphur Springs, Town of",Statutory Towns,25015,37600,645,Grand
"Kremmling, Town of",Statutory Towns,25018,41560,730,Grand
"Winter Park, Town of",Home Rule Municipalities,25025,85705,1377,Grand
"Crested Butte, Town of",Home Rule Municipalities,26004,18310,270,Gunnison
"Gunnison, City of",Home Rule Municipalities,26008,33640,590,Gunnison
"Marble, Town of",Statutory Towns,26010,48555,860,Gunnison
"Mt. Crested Butte, Town of",Home Rule Municipalities,26011,52570,928,Gunnison
"Pitkin, Town of",Statutory Towns,26012,59830,1050,Gunnison
"Lake City, Town of",Statutory Towns,27005,42330,750,Hinsdale
"La Veta, Town of",Statutory Towns,28007,44100,785,Huerfano
"Walsenburg, City of",Statutory Cities,28010,82350,1330,Huerfano
"Walden, Town of",Statutory Towns,29006,82130,1325,Jackson
"Edgewater, City of",Home Rule Municipalities,30020,23135,380,Jefferson
"Golden, City of",Home Rule Municipalities,30035,30835,540,Jefferson
"Lakeside, Town of",Statutory Towns,30053,42495,755,Jefferson
"Lakewood, City of",Home Rule Municipalities,30055,43000,760,Jefferson
"Morrison, Town of",Home Rule Municipalities,30065,52075,920,Jefferson
"Mountain View, Town of",Home Rule Municipalities,30067,52350,925,Jefferson
"Wheat Ridge, City of",Home Rule Municipalities,30093,84440,1360,Jefferson
"Eads, Town of",Statutory Towns,31002,22145,355,Kiowa
"Haswell, Town of",Statutory Towns,31003,34740,605,Kiowa
"Sheridan Lake, Town of",Statutory Towns,31008,69700,1205,Kiowa
"Bethune, Town of",Statutory Towns,32001,6530,85,Kit Carson
"Burlington, City of",Home Rule Municipalities,32004,10600,160,Kit Carson
"Flagler, Town of",Statutory Towns,32010,26765,440,Kit Carson
"Seibert, Town of",Statutory Towns,32015,69040,1190,Kit Carson
"Stratton, Town of",Statutory Towns,32020,74485,1260,Kit Carson
"Vona, Town of",Statutory Towns,32023,81690,1320,Kit Carson
"Leadville, City of",Statutory Cities,33004,44320,790,Lake
"Bayfield, Town of",Statutory Towns,34005,5265,65,La Plata
"Durango, City of",Home Rule Municipalities,34008,22035,350,La Plata
"Ignacio, Town of",Statutory Towns,34015,38535,665,La Plata
