"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Hayden Division,1935484,Civil,Routt,CO,403727N,1071112W,7441,Hooker Mountain,,26-SEP-2001
Henderson,196549,Civil,Adams,CO,395515N,1045302W,5033,Eastlake,01-JAN-1965,01-JUL-1990
Hinsdale County,198142,Civil,Hinsdale,CO,374917N,1071801W,10643,Finger Mesa,,01-FEB-1993
Holly Division,1935485,Civil,Prowers,CO,380852N,1020827W,3540,Holly NW,,26-SEP-2001
Holyoke Division,1935486,Civil,Phillips,CO,403532N,1021313W,3694,Amherst SW,,26-SEP-2001
Hotchkiss Division,1935487,Civil,Delta,CO,384851N,1074321W,5551,Hotchkiss,,26-SEP-2001
Huerfano County,198143,Civil,Huerfano,CO,374105N,1045738W,6650,Black Hills,,01-FEB-1993
Huerfano Valley Division,1935488,Civil,Pueblo,CO,380009N,1041929W,4882,Chicos Well,,26-SEP-2001
Hugo Division,1935489,Civil,Lincoln,CO,390359N,1032523W,5023,Hugo SW,,26-SEP-2001
Idaho Springs Division,1935490,Civil,Clear Creek,CO,394039N,1053204W,10781,Idaho Springs,,26-SEP-2001
Idalia-Joes Division,1935572,Civil,Yuma,CO,394127N,1022123W,4029,Idalia,,26-SEP-2001
Ignacio Division,1935491,Civil,La Plata,CO,370629N,1073625W,6588,Tiffany,,26-SEP-2001
Jackson County,198144,Civil,Jackson,CO,403959N,1062034W,8127,Walden,,01-FEB-1993
Jefferson County,198145,Civil,Jefferson,CO,393511N,1051502W,7405,Conifer,,01-FEB-1993
Johnstown-Milliken Division,1935492,Civil,Weld,CO,401735N,1045625W,4990,Johnstown,,26-SEP-2001
Julesburg Division,1935493,Civil,Sedgwick,CO,405751N,1022903W,3602,Ovid,,26-SEP-2001
Karval Division,1935494,Civil,Lincoln,CO,384226N,1033537W,5194,Karval,,26-SEP-2001
Keenesburg-Hudson Division,1935495,Civil,Weld,CO,400839N,1042503W,4751,Tampa,,26-SEP-2001
Kersey-Gill Division,1935496,Civil,Weld,CO,402715N,1042335W,4783,Barnesville,,26-SEP-2001
Kim Division,1935497,Civil,Las Animas,CO,371948N,1032143W,5577,Kim North,,26-SEP-2001
Kiowa County,198146,Civil,Kiowa,CO,382558N,1024425W,4111,Alkali Lake,,01-FEB-1993
Kit Carson County,198147,Civil,Kit Carson,CO,391820N,1023610W,4409,Stratton,,01-FEB-1993
