"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Town of Eaton,2412462,Civil,Weld,CO,403132N,1044247W,4829,Eaton,,11-MAR-2008
Town of Eckley,2412464,Civil,Yuma,CO,400644N,1022918W,3891,Eckley,,11-MAR-2008
Town of Elizabeth,2412474,Civil,Elbert,CO,392136N,1043625W,6585,Elizabeth,,11-MAR-2008
Town of Empire,2412485,Civil,Clear Creek,CO,394534N,1054056W,8576,Empire,,11-MAR-2008
Town of Erie,2412599,Civil,Weld,CO,400225N,1050223W,5049,Erie,,11-MAR-2008
Town of Estes Park,2412603,Civil,Larimer,CO,402100N,1053043W,7772,Longs Peak,,11-MAR-2008
Town of Fairplay,2412616,Civil,Park,CO,391328N,1055948W,9947,Fairplay East,09-FEB-1965,11-MAR-2008
Town of Firestone,2412626,Civil,Weld,CO,400923N,1045658W,4856,Gowanda,,11-MAR-2008
Town of Flagler,2412628,Civil,Kit Carson,CO,391744N,1030436W,4961,Flagler,,11-MAR-2008
Town of Fleming,2412631,Civil,Logan,CO,404055N,1025023W,4239,Fleming,,11-MAR-2008
Town of Fowler,2412648,Civil,Otero,CO,380750N,1040135W,4340,Fowler,,11-MAR-2008
Town of Foxfield,2412649,Civil,Arapahoe,CO,393517N,1044709W,5807,Parker,,11-MAR-2008
Town of Fraser,2412655,Civil,Grand,CO,395549N,1054811W,8809,Fraser,,11-MAR-2008
Town of Frederick,2412656,Civil,Weld,CO,400632N,1045810W,4934,Frederick,,11-MAR-2008
Town of Frisco,2412661,Civil,Summit,CO,393445N,1060529W,9025,Frisco,,11-MAR-2008
Town of Garden City,2412667,Civil,Weld,CO,402341N,1044122W,4698,Greeley,,11-MAR-2008
Town of Genoa,2412675,Civil,Lincoln,CO,391642N,1032955W,5604,Genoa East,,11-MAR-2008
Town of Georgetown,2412677,Civil,Clear Creek,CO,394305N,1054139W,8464,Georgetown,,11-MAR-2008
Town of Gilcrest,2412683,Civil,Weld,CO,401703N,1044655W,4747,Milliken,,11-MAR-2008
Town of Granada,2412698,Civil,Prowers,CO,380347N,1021842W,3484,Granada,,11-MAR-2008
Town of Granby,2412699,Civil,Grand,CO,400353N,1055510W,7992,Granby,,11-MAR-2008
Town of Grand Lake,2412701,Civil,Grand,CO,401511N,1054958W,8438,Grand Lake,,11-MAR-2008
Town of Green Mountain Falls,2412708,Civil,El Paso,CO,385604N,1050125W,7972,Woodland Park,,11-MAR-2008
Town of Grover,2412712,Civil,Weld,CO,405209N,1041333W,5072,Grover South,,11-MAR-2008
Town of Gypsum,2412716,Civil,Eagle,CO,393834N,1065533W,6463,Gypsum,,11-MAR-2008
Town of Hartman,2412730,Civil,Prowers,CO,380716N,1021318W,3586,Holly West,,11-MAR-2008
Town of Haswell,2412734,Civil,Kiowa,CO,382709N,1030954W,4541,Haswell,,11-MAR-2008
Town of Haxtun,2412738,Civil,Phillips,CO,403831N,1023747W,4032,Haxtun West,,11-MAR-2008
Town of Hayden,2412740,Civil,Routt,CO,402855N,1071256W,6585,Mount Harris,,11-MAR-2008
Town of Hillrose,2412751,Civil,Morgan,CO,401928N,1033120W,4170,Brush East,,11-MAR-2008
Town of Holly,2412764,Civil,Prowers,CO,380319N,1020729W,3396,Holly East,,11-MAR-2008
Town of Hooper,2412766,Civil,Alamosa,CO,374446N,1055240W,7559,Hooper West,,11-MAR-2008
Town of Hot Sulphur Springs,2412770,Civil,Grand,CO,400430N,1060611W,7707,Hot Sulphur Springs,,11-MAR-2008
Town of Hotchkiss,2412771,Civil,Delta,CO,384756N,1074248W,5331,Hotchkiss,,11-MAR-2008
Town of Hudson,2412776,Civil,Weld,CO,400511N,1043628W,4944,Keenesburg,,11-MAR-2008
Town of Hugo,2412778,Civil,Lincoln,CO,390810N,1032823W,5043,Hugo,,11-MAR-2008
Town of Ignacio,2412787,Civil,La Plata,CO,370705N,1073814W,6512,Ignacio,,11-MAR-2008
Town of Iliff,2412788,Civil,Logan,CO,404533N,1030358W,3835,Iliff,,11-MAR-2008
Town of Jamestown,2412800,Civil,Boulder,CO,400704N,1052330W,7192,Gold Hill,,11-MAR-2008
Town of Johnstown,2412807,Civil,Weld,CO,402046N,1045816W,4993,Johnstown,,11-MAR-2008
Town of Julesburg,2412812,Civil,Sedgwick,CO,405906N,1021546W,3468,Julesburg,,11-MAR-2008
Town of Keenesburg,2412820,Civil,Weld,CO,400641N,1043014W,4918,Keenesburg,,11-MAR-2008
Town of Kersey,2412828,Civil,Weld,CO,402300N,1043323W,4629,Kersey,,11-MAR-2008
Town of Kim,2412834,Civil,Las Animas,CO,371449N,1032112W,5695,Kim South,,11-MAR-2008
Town of Kiowa,2412838,Civil,Elbert,CO,392037N,1042728W,6421,Kiowa,,11-MAR-2008
Town of Kit Carson,2412842,Civil,Cheyenne,CO,384546N,1024743W,4288,Kit Carson,,11-MAR-2008
Town of Kremmling,2412848,Civil,Grand,CO,400324N,1062242W,7283,Kremmling,,11-MAR-2008
Town of La Jara,2412855,Civil,Conejos,CO,371625N,1055735W,7605,La Jara,,11-MAR-2008
Town of La Salle,2412856,Civil,Weld,CO,402054N,1044222W,4678,La Salle,,11-MAR-2008
Town of La Veta,2412857,Civil,Huerfano,CO,373031N,1050031W,7014,La Veta,,11-MAR-2008
Town of Lake City,2412863,Civil,Hinsdale,CO,380148N,1071838W,8681,Lake City,,11-MAR-2008
Town of Lakeside,2412865,Civil,Jefferson,CO,394649N,1050328W,5344,Arvada,,11-MAR-2008
Town of Larkspur,2412878,Civil,Douglas,CO,391325N,1045337W,6880,Larkspur,,11-MAR-2008
Town of Limon,2412897,Civil,Lincoln,CO,391555N,1034108W,5354,Limon,,11-MAR-2008
Town of Lochbuie,2412905,Civil,Weld,CO,400042N,1044338W,5049,Hudson,,11-MAR-2008
Town of Log Lane Village,2412910,Civil,Morgan,CO,401611N,1034944W,4308,Fort Morgan,,11-MAR-2008
Town of Lyons,2412930,Civil,Boulder,CO,401323N,1051609W,5341,Lyons,,11-MAR-2008
Town of Manassa,2412937,Civil,Conejos,CO,371026N,1055614W,7690,Manassa,,11-MAR-2008
Town of Mancos,2412939,Civil,Montezuma,CO,372048N,1081738W,7011,Mancos,,11-MAR-2008
Town of Manzanola,2412949,Civil,Otero,CO,380632N,1035200W,4258,Manzanola,,11-MAR-2008
Town of Marble,2412952,Civil,Gunnison,CO,390418N,1071127W,8008,Marble,,11-MAR-2008
Town of Mead,2412970,Civil,Weld,CO,401356N,1045934W,4993,Gowanda,,11-MAR-2008
Town of Meeker,2412977,Civil,Rio Blanco,CO,400300N,1075341W,6450,Meeker,,11-MAR-2008
Town of Merino,2412985,Civil,Logan,CO,402901N,1032113W,4039,Merino,,11-MAR-2008
Town of Milliken,2413000,Civil,Weld,CO,401841N,1045122W,4810,Milliken,,11-MAR-2008
Town of Minturn,2413005,Civil,Eagle,CO,393246N,1062314W,10203,Minturn,,11-MAR-2008
Town of Moffat,2413006,Civil,Saguache,CO,380007N,1055418W,7569,Moffat North,,11-MAR-2008
Town of Montezuma,2413008,Civil,Summit,CO,393453N,1055203W,10308,Montezuma,,11-MAR-2008
Town of Monument,2413009,Civil,El Paso,CO,390424N,1045048W,6988,Monument,,11-MAR-2008
Town of Morrison,2413014,Civil,Jefferson,CO,393730N,1051226W,6932,Indian Hills,,11-MAR-2008
Town of Mount Crested Butte,2413018,Civil,Gunnison,CO,385429N,1065738W,9737,Gothic,,11-MAR-2008
Town of Mountain View,2413021,Civil,Jefferson,CO,394629N,1050324W,5384,Arvada,,11-MAR-2008
Town of Mountain Village,2413024,Civil,San Miguel,CO,375557N,1075128W,9521,Telluride,,11-MAR-2008
Town of Naturita,2413035,Civil,Montrose,CO,381306N,1083400W,5397,Naturita,,11-MAR-2008
Town of Nederland,2413037,Civil,Boulder,CO,395748N,1053026W,8228,Nederland,,11-MAR-2008
Town of New Castle,2413042,Civil,Garfield,CO,393439N,1073136W,5814,New Castle,,11-MAR-2008
Town of Norwood,2413057,Civil,San Miguel,CO,380745N,1081731W,7021,Norwood,,11-MAR-2008
Town of Nucla,2413058,Civil,Montrose,CO,381600N,1083255W,5748,Nucla,,11-MAR-2008
Town of Nunn,2413059,Civil,Weld,CO,404248N,1044718W,5213,Nunn,,11-MAR-2008
Town of Oak Creek,2413061,Civil,Routt,CO,401627N,1065727W,7438,Oak Creek,,11-MAR-2008
Town of Olathe,2413078,Civil,Montrose,CO,383630N,1075900W,5344,Olathe,,11-MAR-2008
Town of Olney Springs,2413079,Civil,Crowley,CO,380959N,1035640W,4383,Olney Springs,,11-MAR-2008
Town of Ophir,2413085,Civil,San Miguel,CO,375125N,1074952W,9728,Ophir,,11-MAR-2008
Town of Orchard City,2413088,Civil,Delta,CO,384852N,1075814W,5361,Orchard City,,11-MAR-2008
Town of Ordway,2413090,Civil,Crowley,CO,381315N,1034524W,4318,Ordway,,11-MAR-2008
Town of Otis,2413094,Civil,Washington,CO,400900N,1025744W,4337,Otis,,11-MAR-2008
Town of Ovid,2413096,Civil,Sedgwick,CO,405739N,1022318W,3530,Ovid,,11-MAR-2008
Town of Pagosa Springs,2413099,Civil,Archuleta,CO,371554N,1070030W,7106,Pagosa Springs,,11-MAR-2008
Town of Palisade,2413101,Civil,Mesa,CO,390630N,1082126W,4718,Palisade,09-FEB-1965,11-MAR-2008
Town of Palmer Lake,2413103,Civil,El Paso,CO,390655N,1045421W,7136,Palmer Lake,,11-MAR-2008
Town of Paoli,2413107,Civil,Phillips,CO,403646N,1022818W,3891,Paoli,,11-MAR-2008
Town of Paonia,2413109,Civil,Delta,CO,385211N,1073531W,5676,Paonia,,11-MAR-2008
Town of Parachute,2413110,Civil,Garfield,CO,392700N,1080317W,5092,Parachute,,11-MAR-2008
Town of Parker,2413117,Civil,Douglas,CO,392912N,1044609W,5879,Castle Rock North,,11-MAR-2008
Town of Peetz,2413123,Civil,Logan,CO,405743N,1030650W,4432,Peetz,,11-MAR-2008
Town of Pierce,2413129,Civil,Weld,CO,403801N,1044519W,5033,Nunn,,11-MAR-2008
Town of Pitkin,2413138,Civil,Gunnison,CO,383631N,1063054W,9212,Pitkin,,11-MAR-2008
Town of Platteville,2412489,Civil,Weld,CO,401319N,1045003W,4803,Platteville,,11-MAR-2008
Town of Poncha Springs,2412495,Civil,Chaffee,CO,383104N,1060421W,7477,Salida West,,11-MAR-2008
Town of Pritchett,2412509,Civil,Baca,CO,372212N,1025131W,4829,Pritchett,,11-MAR-2008
Town of Ramah,2412523,Civil,El Paso,CO,390720N,1041002W,6106,Ramah South,,11-MAR-2008
Town of Rangely,2412528,Civil,Rio Blanco,CO,400532N,1084533W,5272,Rangely,,11-MAR-2008
Town of Raymer,2412533,Civil,Weld,CO,403629N,1035037W,4777,Raymer,,11-MAR-2008
Town of Red Cliff,2412535,Civil,Eagle,CO,393033N,1062212W,8852,Red Cliff,,11-MAR-2008
Town of Rico,2412550,Civil,Dolores,CO,374121N,1080154W,8763,Rico,,11-MAR-2008
Town of Ridgway,2412551,Civil,Ouray,CO,380926N,1074517W,6968,Ridgway,,11-MAR-2008
Town of Rockvale,2412564,Civil,Fremont,CO,382152N,1050953W,5485,Rockvale,,11-MAR-2008
Town of Romeo,2412574,Civil,Conejos,CO,371019N,1055907W,7736,Manassa,,11-MAR-2008
Town of Rye,2412588,Civil,Pueblo,CO,375517N,1045555W,6821,Rye,,11-MAR-2008
Town of Saguache,2412591,Civil,Saguache,CO,380511N,1060828W,7703,Saguache,,11-MAR-2008
Town of San Luis,2413253,Civil,Costilla,CO,371209N,1052521W,7989,San Luis,,11-MAR-2008
Town of Sanford,2413256,Civil,Conejos,CO,371527N,1055403W,7602,La Jara,,11-MAR-2008
Town of Sawpit,2413263,Civil,San Miguel,CO,375941N,1080008W,7556,Little Cone,,11-MAR-2008
Town of Sedgwick,2413269,Civil,Sedgwick,CO,405607N,1023131W,3589,Sedgwick,,11-MAR-2008
Town of Seibert,2413270,Civil,Kit Carson,CO,391753N,1025210W,4711,Seibert,,11-MAR-2008
Town of Severance,2413272,Civil,Weld,CO,403045N,1045009W,4895,Severance,,11-MAR-2008
Town of Sheridan Lake,2413280,Civil,Kiowa,CO,382800N,1021740W,4071,Sheridan Lake,,11-MAR-2008
Town of Silt,2413284,Civil,Garfield,CO,393254N,1073912W,5453,Silt,,11-MAR-2008
Town of Silver Cliff,2413286,Civil,Custer,CO,380713N,1052437W,8261,Aldrich Gulch,,11-MAR-2008
Town of Silver Plume,2413287,Civil,Clear Creek,CO,394144N,1054335W,9101,Georgetown,,11-MAR-2008
Town of Silverthorne,2413288,Civil,Summit,CO,393922N,1060512W,8806,Dillon,,11-MAR-2008
Town of Silverton,2413289,Civil,San Juan,CO,374839N,1073953W,9298,Silverton,,11-MAR-2008
Town of Simla,2413290,Civil,Elbert,CO,390827N,1040457W,5984,Simla,,11-MAR-2008
Town of Snowmass Village,2413302,Civil,Pitkin,CO,391314N,1065619W,8304,Highland Peak,,11-MAR-2008
Town of South Fork,2413307,Civil,Rio Grande,CO,374009N,1063830W,8215,South Fork West,,11-MAR-2008
Town of Springfield,2413324,Civil,Baca,CO,372418N,1023708W,4370,Springfield East,,11-MAR-2008
Town of Starkville,2413331,Civil,Las Animas,CO,370701N,1043124W,6365,Starkville,,11-MAR-2008
Town of Stratton,2413341,Civil,Kit Carson,CO,391810N,1023613W,4413,Stratton,,11-MAR-2008
Town of Sugar City,2413346,Civil,Crowley,CO,381358N,1033948W,4304,Sugar City,,11-MAR-2008
Town of Superior,2413354,Civil,Boulder,CO,395602N,1050932W,5522,Louisville,,11-MAR-2008
Town of Swink,2413358,Civil,Otero,CO,380051N,1033741W,4124,Rocky Ford,,11-MAR-2008
Town of Telluride,2413371,Civil,San Miguel,CO,375622N,1074905W,8753,Telluride,,11-MAR-2008
Town of Timnath,2413391,Civil,Larimer,CO,403204N,1045743W,4869,Timnath,,11-MAR-2008
Town of Two Buttes,2413409,Civil,Baca,CO,373338N,1022348W,4108,Two Buttes,,11-MAR-2008
Town of Vail,2413415,Civil,Eagle,CO,393819N,1062139W,8271,Vail East,,11-MAR-2008
Town of Vilas,2413433,Civil,Baca,CO,372225N,1022651W,4153,Vilas South,,11-MAR-2008
Town of Vona,2413437,Civil,Kit Carson,CO,391808N,1024436W,4505,Vona,,11-MAR-2008
Town of Walden,2413440,Civil,Jackson,CO,404354N,1061653W,8097,Walden,,11-MAR-2008
Town of Walsh,2413444,Civil,Baca,CO,372310N,1021648W,3960,Walsh,,11-MAR-2008
Town of Ward,2413449,Civil,Boulder,CO,400421N,1053049W,9436,Ward,,11-MAR-2008
Town of Wellington,2413464,Civil,Larimer,CO,404200N,1050019W,5194,Wellington,,11-MAR-2008
Town of Westcliffe,2413471,Civil,Custer,CO,380802N,1052755W,7871,Westcliffe,09-FEB-1965,11-MAR-2008
Town of Wiggins,2413486,Civil,Morgan,CO,401343N,1040421W,4547,Wiggins,,11-MAR-2008
Town of Wiley,2413488,Civil,Prowers,CO,380919N,1024309W,3740,Wiley,,11-MAR-2008
Town of Williamsburg,2413490,Civil,Fremont,CO,382302N,1051016W,5771,Canon City,,11-MAR-2008
Town of Windsor,2413496,Civil,Larimer,CO,402648N,1045715W,4990,Windsor,,11-MAR-2008
Town of Winter Park,2413502,Civil,Grand,CO,395243N,1054658W,10134,Fraser,,11-MAR-2008
Town of Yampa,2413518,Civil,Routt,CO,400911N,1065431W,7877,Yampa,,11-MAR-2008
Town of the City of Creede,2412384,Civil,Mineral,CO,375055N,1065531W,8793,Creede,,11-MAR-2008
Trinidad Division,1935585,Civil,Las Animas,CO,370927N,1042623W,6463,Trinidad East,,26-SEP-2001
Two Butte Creek Division,1935586,Civil,Prowers,CO,375021N,1022323W,3976,Barrel Spring,,26-SEP-2001
Upper Saint Vrain Division,1935587,Civil,Boulder,CO,401047N,1053001W,8776,Allenspark,,26-SEP-2001
Ute Mountain Division,1935588,Civil,Montezuma,CO,370803N,1084229W,5522,Towaoc,,26-SEP-2001
Ute Mountain Reservation,169579,Civil,Montezuma,CO,370614N,1083946W,5807,Tanner Mesa,,13-OCT-1978
Vigil and Saint Vrain,193947,Civil,Pueblo,CO,375659N,1042830W,5407,Hog Ranch Canyon,,13-OCT-1978
Vigil and Saint Vrain,203709,Civil,Huerfano,CO,374440N,1045502W,6165,Black Hills,,13-OCT-1978
Vigil and Saint Vrain Number 6,169529,Civil,Pueblo,CO,375247N,1044029W,5656,Graneros Flats,,13-OCT-1978
Walden Division,1935589,Civil,Jackson,CO,403959N,1062034W,8127,Walden,,26-SEP-2001
Walsenburg Division,1935590,Civil,Huerfano,CO,374138N,1044445W,5932,Maria Reservoir,,26-SEP-2001
Walsh Division,1935591,Civil,Baca,CO,372113N,1021344W,3865,Stonington,,26-SEP-2001
Washington County,198176,Civil,Washington,CO,395816N,1031205W,4669,Elba,,01-FEB-1993
Weld County,198177,Civil,Weld,CO,403317N,1042333W,4800,Cornish,,01-FEB-1993
Weldona Division,1935592,Civil,Morgan,CO,402521N,1040126W,4521,Sunken Lake,,26-SEP-2001
West Adams Division,1935593,Civil,Adams,CO,395250N,1045857W,5341,Eastlake,,26-SEP-2001
West Conejos Division,1935432,Civil,Conejos,CO,371221N,1062100W,9688,La Jara Canyon,,26-SEP-2001
West Garfield Division,1935478,Civil,Garfield,CO,393118N,1082812W,6384,Desert Gulch,,26-SEP-2001
West San Miguel Division,1935471,Civil,San Miguel,CO,380022N,1084532W,5699,Hamm Canyon,,26-SEP-2001
Westcliffe Division,1935594,Civil,Custer,CO,380631N,1052203W,8943,Rosita,,26-SEP-2001
Weston Division,1935595,Civil,Las Animas,CO,370853N,1045507W,7296,Vigil,,26-SEP-2001
Whitewater-Kannah Creek Division,1935596,Civil,Mesa,CO,385833N,1082049W,5528,Juniata Reservoir,,26-SEP-2001
Wiggins Division,1935597,Civil,Morgan,CO,400941N,1040139W,4600,Wiggins,,26-SEP-2001
Windsor Division,1935598,Civil,Weld,CO,402932N,1045220W,4833,Bracewell,,26-SEP-2001
Woodlin Division,1935513,Civil,Washington,CO,394614N,1032815W,4905,Dry Gulch,,26-SEP-2001
Wray Division,1935599,Civil,Yuma,CO,400824N,1021641W,3793,Eckley NE,,26-SEP-2001
Yampa Division,1935600,Civil,Routt,CO,400247N,1065102W,8297,Toponas,,26-SEP-2001
Yuma County,198178,Civil,Yuma,CO,400010N,1022527W,3842,Eckley,,01-FEB-1993
Yuma Division,1935601,Civil,Yuma,CO,400409N,1023815W,4062,Yuma South,,26-SEP-2001
