"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Full","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment"
Bennett,06090,G,2411676,G,64258,G,Bennett,Bennett,G,CO0101020,G,,x,"Adams, Arapahoe",2,South Platte,1,39.736358,-104.428527,,https://www.colorado.gov/townofbennett,G,
Berthoud,06255,G,2411681,G,64237,G,Berthoud,Berthoud,G,CO0135138,G,,x,"Larimer, Weld",2,South Platte,1,40.307017,-105.041523,,http://www.berthoud.org/,G,
Bethune,06530,G,2411684,G,32001,G,Bethune,Bethune,G,CO0132001,G,,x,Kit Carson,1,South Platte,1,39.303822,-102.423414,,"https://en.wikipedia.org/wiki/Bethune,_Colorado",g,
Black Hawk,07025,G,2409856,G,24001,G,BlackHawk,BlackHawk,G,CO0124147,G,,x,Gilpin,1,South Platte,1,39.804295,-105.494544,,http://www.cityofblackhawk.org/,G,
Blanca,07190,G,2411696,G,12001,G,Blanca,Blanca,G,CO0112100,G,,x,Costilla,1,Rio Grande,1,37.439472,-105.513803,,http://users.gojade.org/~blancaco,G,New BNDSS ID; did not have an ID in original BNDSS
Blue River,07410,G,2411700,G,59002,G,BlueRiver,BlueRiver,G,,M,,x,Summit,1,Colorado,1,39.434223,-106.036177,,http://www.townofblueriver.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Bonanza City,07571,G,2411706,G,55002,G,BonanzaCity,BonanzaCity,G,CO0079129,G,,x,Saguache,1,Rio Grande,1,38.296619,-106.141869,,"https://en.wikipedia.org/wiki/Bonanza,_Colorado",g,"New BNDSS ID; did not have an ID in original BNDSS, 'Bonza' found in some DOLA data."
Boone,07795,G,2411709,G,51005,G,Boone,Boone,G,CO0151150,G,,x,Pueblo,1,Arkansas,1,38.249454,-104.258092,,"https://en.wikipedia.org/wiki/Boone,_Colorado",g,
Boulder,07850,G,2409883,G,07006,G,Boulder,Boulder,G,CO0107152,G,,x,Boulder,1,South Platte,1,40.027293,-105.251551,,https://bouldercolorado.gov/,G,
Bow Mar,08070,G,2411713,G,64026,G,BowMar,BowMar,G,,M,,x,"Arapahoe, Jefferson",2,Metro,1,39.625265,-105.051222,,https://www.colorado.gov/townofbowmar,G,New BNDSS ID; did not have an ID in original BNDSS
Branson,08345,G,2411720,G,36002,G,Branson,Branson,G,CO0136300,G,,x,Las Animas,1,Arkansas,1,37.015493,-103.883777,,"https://en.wikipedia.org/wiki/Branson,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Breckenridge,08400,G,2411722,G,59004,G,Breckenridge,Breckenridge,G,CO0159020,G,,x,Summit,1,Colorado,1,39.499495,-106.043226,,http://www.townofbreckenridge.com/,G,
Brighton,08675,G,2409911,G,64029,G,Brighton,Brighton,G,CO0101025,G,,x,"Adams, Weld",2,"Metro, South Platte",2,39.971612,-104.796089,,http://www.brightonco.gov/,G,
Brookside,09115,G,2411733,G,22001,G,Brookside,Brookside,G,CO0122050,G,,x,Fremont,1,Arkansas,1,38.413584,-105.191027,,https://www.colorado.gov/townofbrookside,G,
Broomfield,09280,G,2409919,G,64030,G,Broomfield,Broomfield,G,CO0107155,G,,x,"Adams, Boulder, Broomfield, Jefferson, Weld",5,"Metro, South Platte",2,39.954161,-105.052589,,https://www.broomfield.org/,G,
Brush,09555,G,2409926,G,44001,G,Brush,Brush,G,CO0144001,G,,x,Morgan,1,South Platte,1,40.258147,-103.632022,,http://www.brushcolo.com/,G,
Buena Vista,10105,G,2411739,G,08002,G,BuenaVista,BuenaVista,G,CO0108300,G,,x,Chaffee,1,Arkansas,1,38.831775,-106.139013,,http://www.buenavistaco.gov/,G,
Burlington,10600,G,2409946,G,32004,G,Burlington,Burlington,G,CO0132005,G,,x,Kit Carson,1,South Platte,1,39.304205,-102.271483,,http://www.burlingtoncolo.com/,G,
Calhan,11260,G,2413149,G,21006,G,Calhan,Calhan,G,CO0121075,G,,x,El Paso,1,Arkansas,1,39.034657,-104.300010,,http://www.calhan.co/,G,New BNDSS ID; did not have an ID in original BNDSS
Campo,11645,G,2413155,G,05003,G,Campo,Campo,G,CO0105100,G,,x,Baca,1,Arkansas,1,37.104712,-102.578798,,https://townofcampo.co/,G,
Canon City,11810,G,2409976,G,22002,G,CanonCity,CanonCity,G,CO0122100,G,,x,Fremont,1,Arkansas,1,38.443058,-105.220215,,http://www.canoncity.org/,G,
Carbonate,12080,z,,M,66636,G,Carbonate,Carbonate,G,,M,,x,Garfield,1,Colorado,1,39.744304,-107.339143,,http://www.carbonatecolorado.com/,G,"New BNDSS ID; did not have an ID in original BNDSS, FIPS from DOLA but unverified"
Carbondale,12045,G,2413166,G,23004,G,Carbondale,Carbondale,G,CO0123167,G,,x,Garfield,1,Colorado,1,39.394898,-107.214687,,http://www.carbondalegov.org/,G,
Castle Pines,12387,G,2500981,G,65986,G,CastlePines,CastlePines,G,,M,,x,Douglas,1,Metro,1,39.462491,-104.870600,,http://www.castlepinesgov.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Castle Rock,12415,G,2413179,G,18003,G,CastleRock,CastleRock,G,CO0118010,G,,x,Douglas,1,Metro,1,39.376152,-104.853344,,http://crgov.com/,G,
Cedaredge,12635,G,2413184,G,15003,G,Cedaredge,Cedaredge,G,CO0115171,G,,x,Delta,1,Gunnison,1,38.894113,-107.925460,,http://www.cedaredgecolorado.com/,G,
Centennial,12815,G,2409422,G,03163,G,Centennial,Centennial,G,,M,,x,Arapahoe,1,Metro,1,39.592608,-104.867280,,http://www.centennialco.gov/,G,New BNDSS ID; did not have an ID in original BNDSS
Center,12855,G,2413186,G,64039,G,Center,Center,G,CO0155500,G,,x,"Rio Grande, Saguache",2,Rio Grande,1,37.751340,-106.110833,,http://www.centerco.gov/,G,
Central City,12910,G,2409427,G,64263,G,CentralCity,CentralCity,G,CO0124171,G,,x,"Clear Creek, Gilpin",2,South Platte,1,39.797462,-105.516892,,https://www.colorado.gov/centralcity,G,
Cheraw,13460,G,2413193,G,45001,G,Cheraw,Cheraw,G,CO0145090,G,,x,Otero,1,Arkansas,1,38.107573,-103.511052,,"https://en.wikipedia.org/wiki/Cheraw,_Colorado",g,
Cherry Hills Village,13845,G,2409443,G,03023,G,CherryHlsVlg,CherryHillsVillage,G,,M,,x,Arapahoe,1,Metro,1,39.637547,-104.948028,,https://www.cherryhillsvillage.com/,G,
Cheyenne Wells,14175,G,2413197,G,09007,G,CheyenneWells,CheyenneWells,G,CO0109006,G,,x,Cheyenne,1,South Platte,1,38.819202,-102.352030,,http://townofcheyennewells.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Coal Creek,15330,G,2413219,G,22006,G,CoalCrk,CoalCrk,G,CO0122250,G,,x,Fremont,1,Arkansas,1,38.362117,-105.142176,,https://www.colorado.gov/coalcreekco,G,New BNDSS ID; did not have an ID in original BNDSS
Cokedale,15550,G,2413221,G,36004,G,Cokedale,Cokedale,G,CO0136185,G,,x,Las Animas,1,Arkansas,1,37.144223,-104.621590,,"https://en.wikipedia.org/wiki/Cokedale,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Collbran,15605,G,2413226,G,39011,G,Collbran,Collbran,G,CO0139185,G,,x,Mesa,1,Colorado,1,39.239678,-107.964516,,https://www.colorado.gov/townofcollbran,G,
Colorado Springs,16000,G,2410198,G,21015,G,ColoradoSpgs,ColoradoSprings,G,CO0121150,G,,x,El Paso,1,Arkansas,1,38.867374,-104.760565,,http://www.springsgov.com/,G,
Columbine Valley,16385,G,2413232,G,03029,G,ColumbineVly,ColumbineValley,G,,M,,x,Arapahoe,1,Metro,1,39.599294,-105.035295,,http://www.columbinevalley.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Commerce City,16495,G,2410212,G,01005,G,CommerceCity,CommerceCity,G,,M,,x,Adams,1,"Metro, South Platte",2,39.863975,-104.843441,,http://www.c3gov.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Cortez,17375,G,2410236,G,42004,G,Cortez,Cortez,G,CO0142200,G,,x,Montezuma,1,Southwest,1,37.350367,-108.576640,,http://www.cityofcortez.com/,G,
Craig,17760,G,2410255,G,41004,G,Craig,Craig,G,CO0141188,G,,x,Moffat,1,Yampa,1,40.516988,-107.555660,,http://www.ci.craig.co.us/,G,
Crawford,17925,G,2412382,G,15005,G,Crawford,Crawford,G,CO0115188,G,,x,Delta,1,Gunnison,1,38.705057,-107.609676,,https://www.colorado.gov/crawford,G,
Creede,14765,G,2412384,G,40001,G,Creede,Creede,G,CO0140500,G,,x,Mineral,1,Rio Grande,1,37.845032,-106.924122,,http://www.creedetownhall.com/,G,
Crested Butte,18310,G,2412385,G,26004,G,CrestedButte,CrestedButte,G,CO0126188,G,,x,Gunnison,1,Gunnison,1,38.867641,-106.977269,,http://www.townofcrestedbutte.com/,G,
Crestone,18420,G,2412387,G,55004,G,Crestone,Crestone,G,,M,,x,Saguache,1,Rio Grande,1,37.994537,-105.696221,,http://www.townofcrestone.org/,G,
Cripple Creek,18530,G,2410265,G,60001,G,CrippleCrk,CrippleCreek,G,CO0160100,G,,x,Teller,1,Arkansas,1,38.746657,-105.185073,,http://www.cityofcripplecreek.com/,G,
Crook,18640,G,2412389,G,38002,G,Crook,Crook,G,CO0138005,G,,x,Logan,1,South Platte,1,40.859165,-102.801366,,"https://en.wikipedia.org/wiki/Crook,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Crowley,18750,G,2412394,G,13002,G,Crowley,Crowley,G,CO0113300,G,,x,Crowley,1,Arkansas,1,38.193506,-103.859743,,"https://en.wikipedia.org/wiki/Crowley,_Colorado",g,
Dacono,19080,G,2410283,G,62007,G,Dacono,Dacono,G,CO0162200,G,,x,Weld,1,South Platte,1,40.062017,-104.948282,,http://www.ci.dacono.co.us/,G,
De Beque,19355,G,2412412,G,39012,G,DeBeque,DeBeque,G,CO0139205,G,,x,Mesa,1,Colorado,1,39.310184,-108.204869,,http://debeque.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Deer Trail,19630,G,2412415,G,03033,G,DeerTrail,DeerTrail,G,CO0103030,G,,x,Arapahoe,1,South Platte,1,39.615363,-104.043303,,http://www.townofdeertrail.co/,G,New BNDSS ID; did not have an ID in original BNDSS
Del Norte,19795,G,2412416,G,53002,G,DelNorte,DelNorte,G,CO0153200,G,,x,Rio Grande,1,Rio Grande,1,37.678097,-106.354468,,http://www.delnortecolorado.com/,G,
Delta,19850,G,2410319,G,15015,G,Delta,Delta,G,CO0115205,G,,x,Delta,1,Gunnison,1,38.756113,-108.077282,,http://cityofdelta.net/,G,
Denver,20000,G,2410324,G,16002,G,Denver,Denver,G,CO0116001,G,,x,Denver,1,"Metro, South Platte",2,39.761976,-104.875766,,http://www.denvergov.org/,G,
Dillon,20440,G,2412431,G,59009,G,Dillon,Dillon,G,CO0159035,G,,x,Summit,1,Colorado,1,39.621294,-106.039241,,http://www.ci.dillon.co.us/,G,
Dinosaur,20495,G,2412432,G,41005,G,Dinosaur,Dinosaur,G,CO0141210,G,,x,Moffat,1,Yampa,1,40.240260,-109.007512,,https://www.colorado.gov/pacific/townofdinosaur,G,
Dolores,20770,G,2412439,G,42008,G,Dolores,Dolores,G,CO0142400,G,,x,Montezuma,1,Southwest,1,37.473970,-108.500023,,http://www.townofdolores.com/,G,
Dove Creek,21265,G,2412446,G,17003,G,DoveCrk,DoveCreek,G,CO0117300,G,,x,Dolores,1,Southwest,1,37.766867,-108.907180,,https://www.colorado.gov/dovecreek,G,New BNDSS ID; did not have an ID in original BNDSS
Durango,22035,G,2410374,G,34008,G,Durango,Durango,G,CO0134150,G,,x,La Plata,1,Southwest,1,37.275012,-107.870336,,http://www.durangogov.org/,G,
Eads,22145,G,2412454,G,31002,G,Eads,Eads,G,CO0131400,G,,x,Kiowa,1,Arkansas,1,38.481547,-102.779829,,http://www.kcedfonline.org/eads.htm,G,
Eagle,22200,G,2412456,G,19009,G,Eagle,Eagle,G,CO0119233,G,,x,Eagle,1,Colorado,1,39.636465,-106.812082,,http://www.townofeagle.org/,G,
Eaton,22860,G,2412462,G,62008,G,Eaton,Eaton,G,CO0162233,G,,x,Weld,1,South Platte,1,40.527223,-104.712559,,http://www.eatonco.org/,G,
