Municipality_Name,FIPS_ID,LocalGovt_ID,BNDSS_ID,PWS_ID,County,Basin,Comment
Elizabeth,23740,20004,Elizabeth,CO0120010,Elbert,Metro,New BNDSS ID; did not have an ID in original BNDSS
Empire,24620,10005,Empire,CO0110010,Clear Creek,South Platte,
Englewood,24785,3041,Englewood,CO0103045,Arapahoe,Metro,
Erie,24950,64060,Erie,CO0162255,"Boulder, Weld",South Platte,
Estes Park,25115,35004,EstesPark,CO0135257,Larimer,South Platte,
Evans,25280,62011,Evans,CO0162260,Weld,South Platte,
Fairplay,25610,47005,Fairplay,CO0147020,Park,South Platte,
Federal Heights,26270,1009,FederalHts,CO0101055,Adams,Metro,
Firestone,26600,62012,Firestone,CO0162476,Weld,South Platte,
Flagler,26765,32010,Flagler,CO0132010,Kit Carson,South Platte,
Fleming,26875,38005,Fleming,CO0138010,Logan,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Florence,27040,22011,Florence,CO0122500,Fremont,Arkansas,
Fort Collins,27425,35009,FtCollins,CO0135291,Larimer,South Platte,
Fort Lupton,27700,62014,FtLupton,CO0162291,Weld,South Platte,
Fort Morgan,27810,44006,FtMorgan,CO0144005,Morgan,South Platte,
Fountain,27865,21026,FountainUtilities,CO0121275,El Paso,Arkansas,
Fowler,27975,45004,Fowler,CO0145210,Otero,Arkansas,
Foxfield,28105,3134,Foxfield,NaN,Arapahoe,Metro,
Fraser,28305,25006,Fraser,CO0125288,Grand,Colorado,
Frederick,28360,62016,Frederick,CO0162288,Weld,South Platte,
Frisco,28690,59015,Frisco,CO0159055,Summit,Colorado,
Fruita,28745,39014,Fruita,CO0051540,Mesa,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Garden City,29185,62018,GardenCity,CO0140897,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Genoa,29680,37004,Genoa,CO0137005,Lincoln,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Georgetown,29735,10007,Georgetown,CO0110015,Clear Creek,South Platte,
Gilcrest,29955,62020,Gilcrest,CO0162310,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Glendale,30340,3043,Glendale,CO0103055,Arapahoe,Metro,
Glenwood Springs,30780,23008,GlenwoodSpgs,CO0123314,Garfield,Colorado,
Golden,30835,30035,Golden,CO0130040,Jefferson,Metro,
Granada,31550,50007,Granada,CO0150300,Prowers,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Granby,31605,25008,Granby,CO0125321,Grand,Colorado,
Grand Junction,31660,39020,GrandJunction,CO0139321,Mesa,"Colorado, Gunnison",
Grand Lake,31715,25014,GrandLake,CO0125322,Grand,Colorado,
Greeley,32155,62022,Greeley,CO0162321,Weld,South Platte,
Green Mountain Falls,32650,64070,GreenMtnFalls,CO0121400,"El Paso, Teller",Arkansas,
Greenwood Village,33035,3051,GreenwoodVlg,CO0130323,Arapahoe,Metro,
Grover,33310,62023,Grover,CO0162322,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Gunnison,33640,26008,Gunnison,CO0126325,Gunnison,Gunnison,
Gypsum,33695,19020,Gypsum,CO0119329,Eagle,Colorado,
Hartman,34520,50008,Hartman,CO0150500,Prowers,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Haswell,34740,31003,Haswell,CO0131600,Kiowa,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Haxtun,34960,48004,Haxtun,CO0148001,Phillips,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Hayden,35070,54005,Hayden,CO0154333,Routt,Yampa,
Hillrose,36610,44007,Hillrose,CO0144010,Morgan,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Holly,37215,50011,Holly,CO0150600,Prowers,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Holyoke,37270,48005,Holyoke,CO0148005,Phillips,South Platte,
Hooper,37380,2005,Hooper,NaN,Alamosa,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Hot Sulphur Springs,37600,15020,HotSulphurSpgs,CO0125352,Grand,Colorado,
Hotchkiss,37545,25015,Hotchkiss,CO0115352,Delta,Gunnison,
Hudson,37820,62029,Hudson,CO0162359,Weld,South Platte,
Hugo,37875,37006,Hugo,CO0137010,Lincoln,Arkansas,
Idaho Springs,38370,10008,IdahoSpgs,CO0110020,Clear Creek,South Platte,
Ignacio,38535,34015,Ignacio,CO0134500,La Plata,Southwest,
Iliff,38590,38007,Iliff,CO0138015,Logan,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Jamestown,39195,7018,Jamestown,CO0107401,Boulder,South Platte,
Johnstown,39855,64266,Johnstown,CO0162418,"Larimer, Weld",South Platte,New BNDSS ID; did not have an ID in original BNDSS
